"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"11",0,0,32,208,144,0,0,0,0,32,255,240,224,96,0,0,0,128,255,80,48,240,0,0,0,112,255,16,0,176,112,0,0,96,192,0,0,128,128,0,0,0,255,32,0,112,160,0,0,0,192,192,112,240,80,0,0,0,0,208,255,144,0,0
"12",0,0,80,255,160,16,0,0,0,176,224,208,224,192,0,0,0,192,255,64,48,240,80,0,0,176,192,16,0,112,144,0,0,144,160,0,0,48,224,0,0,96,224,0,0,144,255,0,0,0,224,144,144,255,176,0,0,0,80,240,255,240,16,0
"13",0,0,64,176,240,64,0,0,0,48,240,240,160,255,0,0,0,128,240,32,0,224,64,0,0,112,208,0,0,160,128,0,0,112,192,0,0,208,64,0,0,16,240,64,16,240,32,0,0,0,160,192,176,192,0,0,0,0,32,176,208,32,0,0
"14",0,0,0,176,208,16,0,0,0,32,112,255,176,176,0,0,0,128,255,128,0,144,16,0,0,112,192,112,0,64,80,0,0,48,144,0,0,64,144,0,0,16,192,16,0,160,112,0,0,0,112,176,160,240,0,0,0,0,16,176,208,80,0,0
"15",0,0,144,240,48,0,0,0,0,16,240,255,240,80,0,0,0,48,255,128,144,224,0,0,0,64,208,0,0,160,64,0,0,48,208,0,0,112,96,0,0,32,192,0,0,160,160,0,0,16,192,144,208,255,96,0,0,0,112,255,255,128,0,0
"16",0,0,112,176,176,32,0,0,0,0,255,255,240,208,0,0,0,48,240,112,0,160,48,0,0,48,192,0,0,80,112,0,0,112,144,0,0,160,96,0,0,64,208,0,48,240,96,0,0,32,240,192,240,224,0,0,0,0,112,255,192,32,0,0
"17",0,0,80,208,16,0,0,0,0,0,208,255,112,16,0,0,0,16,255,255,255,208,16,0,0,32,255,160,0,192,80,0,0,32,255,0,0,48,160,0,0,32,240,0,0,96,224,0,0,0,224,80,128,255,144,0,0,0,64,208,240,112,0,0
"18",0,0,48,240,112,0,0,0,0,0,208,255,160,0,0,0,0,80,255,112,80,48,0,0,0,80,255,128,255,240,32,0,0,32,192,16,96,128,160,0,0,16,224,32,0,0,208,0,0,0,144,240,192,240,255,0,0,0,32,160,240,255,112,0
"19",0,0,80,128,0,0,0,0,0,0,192,255,208,112,0,0,0,0,240,240,208,255,48,0,0,48,240,0,0,160,96,0,0,48,208,0,0,112,144,0,0,64,255,0,16,192,192,0,0,16,240,192,224,255,144,0,0,0,96,224,224,144,16,0
"20",0,0,96,176,0,0,0,0,0,16,240,192,32,64,0,0,0,80,192,48,255,255,64,0,0,80,144,0,128,112,128,0,0,128,128,0,0,64,128,0,0,112,144,0,0,64,144,0,0,0,240,128,144,240,112,0,0,0,96,255,255,144,0,0
"21",0,0,96,255,192,16,0,0,0,0,240,224,224,208,0,0,0,32,255,96,80,255,32,0,0,0,240,64,32,255,96,0,0,16,255,80,16,255,96,0,0,32,255,32,176,224,16,0,0,0,255,80,240,80,0,0,0,0,112,255,112,0,0,0
"22",0,0,16,208,240,112,0,0,0,0,144,224,144,240,16,0,0,32,255,80,0,160,64,0,0,80,208,80,0,64,128,0,0,128,128,0,0,112,128,0,0,48,224,16,0,144,112,0,0,0,208,208,144,255,64,0,0,0,48,208,255,160,0,0
"23",0,0,64,240,176,32,0,0,0,0,240,240,224,176,0,0,0,32,255,96,0,240,16,0,0,32,255,80,0,176,80,0,0,32,255,64,0,112,144,0,0,0,240,32,0,160,144,0,0,0,176,208,144,255,64,0,0,0,32,160,255,160,0,0
"24",0,0,48,192,192,16,0,0,0,0,240,240,208,176,0,0,0,48,255,64,0,224,32,0,0,80,240,80,0,80,112,0,0,128,128,0,0,64,128,0,0,64,224,0,0,112,176,0,0,0,224,176,192,255,48,0,0,0,48,224,192,64,0,0
"25",0,0,176,240,144,0,0,0,0,0,208,144,208,160,0,0,0,0,208,96,16,176,48,0,0,64,192,0,0,64,128,0,0,128,112,0,0,80,128,0,0,112,128,0,80,240,48,0,0,32,224,160,255,160,0,0,0,0,192,192,48,0,0,0
"26",0,0,144,255,160,0,0,0,0,0,64,160,240,32,0,0,0,0,208,0,64,208,0,0,0,64,255,0,0,208,32,0,0,112,192,0,0,160,96,0,0,128,208,16,32,208,128,0,0,80,255,255,255,255,32,0,0,0,144,255,240,128,0,0
"27",0,0,112,240,96,0,0,0,0,0,80,128,224,112,0,0,0,0,112,32,64,208,32,0,0,0,224,48,0,192,64,0,0,32,255,0,16,224,80,0,0,80,208,0,112,255,48,0,0,16,255,144,240,208,0,0,0,0,144,240,160,16,0,0
"28",0,0,64,192,255,64,0,0,0,0,240,240,96,240,0,0,0,48,255,176,0,128,64,0,0,64,176,48,0,64,128,0,0,80,128,0,0,144,112,0,0,16,192,0,0,208,80,0,0,0,208,160,224,176,0,0,0,0,64,192,208,16,0,0
"29",0,32,255,144,0,0,0,0,0,32,255,255,160,16,0,0,0,0,16,112,255,208,0,0,0,16,80,0,128,255,48,0,0,64,128,0,0,192,112,0,0,80,160,0,80,240,64,0,0,128,240,224,255,160,0,0,0,48,240,240,128,16,0,0
"30",0,0,32,112,208,48,0,0,0,0,160,255,192,208,0,0,0,0,240,144,16,192,64,0,0,16,240,0,0,128,112,0,0,80,128,0,0,192,80,0,0,16,176,0,16,240,64,0,0,0,224,208,240,160,0,0,0,0,48,208,224,48,0,0
"31",0,0,64,192,255,144,0,0,0,0,208,160,64,224,48,0,0,80,208,16,0,192,64,0,0,64,192,0,0,128,128,0,0,96,192,0,0,160,112,0,0,48,240,0,32,255,48,0,0,0,255,208,240,176,0,0,0,0,96,240,160,0,0,0
"32",0,0,64,240,255,96,0,0,0,0,224,240,128,224,32,0,0,112,192,32,0,128,64,0,0,112,128,0,0,80,128,0,0,128,128,0,0,144,128,0,0,48,176,0,0,160,112,0,0,0,240,112,128,224,32,0,0,0,80,192,224,96,0,0
"33",0,0,64,144,112,208,16,0,0,16,255,96,96,224,64,0,0,112,208,0,0,160,128,0,0,128,96,0,0,192,112,0,0,128,80,0,0,208,64,0,0,128,160,0,80,255,64,0,0,16,240,192,240,160,0,0,0,0,80,224,144,16,0,0
"34",0,0,32,208,128,0,0,0,0,0,192,240,255,176,0,0,0,32,255,48,48,208,64,0,0,80,208,0,0,144,112,0,0,112,128,0,0,208,48,0,0,48,224,0,16,240,32,0,0,0,224,160,192,192,0,0,0,0,32,208,192,48,0,0
"35",0,0,16,192,255,48,0,0,0,0,112,176,128,192,0,0,0,32,224,16,0,224,16,0,0,64,224,0,0,176,112,0,0,48,208,0,0,80,128,0,0,0,208,64,0,144,112,0,0,0,160,208,128,224,16,0,0,0,16,144,224,96,0,0
"36",0,0,64,240,255,240,32,0,0,0,255,192,160,240,144,0,0,32,255,80,0,144,176,0,0,0,240,96,0,128,160,0,0,16,255,112,0,208,96,0,0,32,255,160,64,255,0,0,0,0,160,255,255,128,0,0,0,0,32,224,192,32,0,0
"37",0,0,16,144,208,16,0,0,0,0,176,176,208,144,0,0,0,32,240,0,64,255,64,0,0,128,144,0,0,208,96,0,0,80,192,0,0,144,128,0,0,0,240,48,0,128,128,0,0,0,96,224,64,176,112,0,0,0,0,176,255,208,32,0
"38",0,0,32,240,176,16,0,0,0,0,144,192,224,208,32,0,0,32,240,32,16,208,96,0,0,112,255,0,0,144,128,0,0,64,255,0,0,160,112,0,0,48,255,48,32,224,32,0,0,0,224,224,224,144,0,0,0,0,48,176,208,16,0,0
"39",0,0,32,192,240,80,0,0,0,0,176,144,144,240,48,0,0,0,240,16,0,240,64,0,0,64,160,0,0,208,48,0,0,48,224,0,0,192,128,0,0,0,240,48,0,208,80,0,0,0,160,208,80,255,32,0,0,0,16,208,255,128,0,0
"40",0,0,0,144,255,176,0,0,0,0,96,240,192,255,96,0,0,0,255,176,0,144,192,0,0,80,255,48,0,128,128,0,0,64,255,0,0,128,128,0,0,32,255,112,0,192,80,0,0,0,176,255,224,255,16,0,0,0,16,144,208,96,0,0
"41",0,0,192,255,160,0,0,0,0,48,255,96,224,144,0,0,0,112,224,0,48,240,48,0,0,144,192,0,0,128,160,0,0,128,192,0,0,64,192,0,0,112,208,0,0,80,192,0,0,32,255,96,32,208,144,0,0,0,144,255,255,208,0,0
"42",0,0,240,255,208,32,0,0,0,48,240,32,160,240,32,0,0,128,192,0,0,160,128,0,0,128,192,0,0,64,192,0,0,144,192,0,0,64,192,0,0,128,192,0,0,144,128,0,0,96,240,64,176,224,32,0,0,0,192,255,240,48,0,0
"43",0,0,128,255,192,16,0,0,0,48,240,80,208,208,0,0,0,160,192,0,16,240,96,0,0,192,144,0,0,112,192,0,0,192,160,0,0,80,192,0,0,128,224,0,0,112,192,0,0,48,255,144,80,240,80,0,0,0,144,255,255,176,0,0
"44",0,0,96,255,255,160,0,0,0,16,240,176,96,240,48,0,0,112,255,32,0,176,144,0,0,192,224,0,0,144,176,0,0,128,255,0,0,128,192,0,0,64,255,80,0,144,176,0,0,16,224,208,96,255,48,0,0,0,80,240,255,96,0,0
"45",0,0,16,240,255,208,16,0,0,48,176,176,48,208,144,0,0,192,208,0,0,128,192,0,0,144,240,0,0,128,192,0,0,64,255,32,0,128,192,0,0,32,240,144,0,128,192,0,0,0,160,255,80,224,128,0,0,0,16,192,255,240,16,0
"46",0,0,128,255,224,64,0,0,0,16,240,112,144,240,32,0,0,128,176,0,0,192,144,0,0,144,80,0,0,96,192,0,0,144,128,0,0,64,192,0,0,128,192,0,0,144,192,0,0,48,255,96,112,240,80,0,0,0,128,255,255,192,0,0
"47",0,0,80,224,176,48,0,0,0,32,255,224,255,224,0,0,0,64,208,64,32,208,64,0,0,128,144,0,0,128,128,0,0,128,160,0,0,112,128,0,0,64,208,0,0,144,128,0,0,0,224,144,64,224,96,0,0,0,64,255,255,128,0,0
"48",0,0,64,208,255,112,0,0,0,16,240,208,255,240,16,0,0,80,208,0,112,224,64,0,0,96,144,0,0,128,112,0,0,80,176,0,0,128,128,0,0,64,208,0,0,128,128,0,0,0,224,192,96,255,64,0,0,0,48,255,240,80,0,0
"49",0,0,96,240,176,48,0,0,0,16,224,255,255,224,0,0,0,64,255,16,144,255,32,0,0,96,255,0,0,208,112,0,0,80,208,0,0,192,128,0,0,64,255,16,0,224,128,0,0,0,224,160,160,240,16,0,0,0,64,208,255,128,0,0
"50",0,0,112,224,144,48,0,0,0,0,240,112,240,240,16,0,0,64,192,0,48,208,96,0,0,64,192,0,0,128,128,0,0,80,128,0,0,80,128,0,0,64,192,0,0,128,112,0,0,32,240,96,96,240,32,0,0,0,96,240,255,128,0,0
"51",0,0,96,224,144,16,0,0,0,0,224,144,208,192,0,0,0,32,208,0,32,240,32,0,0,80,128,0,0,128,64,0,0,128,128,0,0,80,128,0,0,96,176,0,0,96,80,0,0,0,240,112,64,208,48,0,0,0,80,192,255,176,0,0
"52",0,0,128,192,112,0,0,0,0,0,224,128,240,224,0,0,0,48,224,0,96,240,32,0,0,80,176,0,0,144,128,0,0,128,128,0,0,80,128,0,0,80,176,0,0,128,128,0,0,16,240,32,32,224,80,0,0,0,96,240,255,192,16,0
"53",0,0,144,208,96,0,0,0,0,0,240,255,240,80,0,0,0,64,208,16,48,224,0,0,0,80,176,0,0,160,112,0,0,128,128,0,0,128,96,0,0,64,192,0,0,112,112,0,0,32,208,64,112,255,0,0,0,0,128,255,208,128,0,0
"54",0,0,112,160,32,0,0,0,0,48,255,255,255,160,0,0,0,80,255,192,176,255,32,0,0,96,192,0,0,144,128,0,0,64,192,0,0,128,128,0,0,64,255,0,0,128,128,0,0,16,255,160,176,240,96,0,0,0,112,255,208,80,0,0
"55",0,0,112,224,80,0,0,0,0,48,255,255,255,80,0,0,0,96,255,0,80,224,0,0,0,64,192,0,0,208,48,0,0,128,128,0,0,192,128,0,0,112,144,0,0,192,112,0,0,16,240,128,224,255,48,0,0,0,128,224,192,64,0,0
"56",0,0,160,255,112,0,0,0,0,16,255,255,240,48,0,0,0,64,255,255,255,208,0,0,0,64,255,160,176,224,32,0,0,96,255,0,0,192,64,0,0,80,240,0,0,160,112,0,0,64,255,128,176,255,0,0,0,16,160,240,208,64,0,0
"57",0,0,112,224,192,0,0,0,0,80,255,255,255,96,0,0,0,128,255,128,80,240,48,0,0,128,192,0,0,160,112,0,0,128,176,0,0,192,80,0,0,64,208,0,0,192,80,0,0,0,255,192,144,255,48,0,0,0,128,224,192,112,0,0
"58",0,0,160,208,255,80,0,0,0,0,240,240,160,192,0,0,0,48,224,16,0,224,32,0,0,96,192,0,0,144,112,0,0,64,192,0,0,64,128,0,0,0,192,0,0,176,96,0,0,0,255,160,224,255,32,0,0,0,128,208,160,16,0,0
"59",0,0,64,240,128,0,0,0,0,0,192,255,240,48,0,0,0,16,255,176,112,224,32,0,0,64,224,0,0,192,128,0,0,64,192,0,0,224,80,0,0,64,224,16,0,240,80,0,0,0,208,144,144,255,96,0,0,0,112,255,192,80,0,0
"60",0,0,80,255,176,48,0,0,0,0,224,240,160,240,32,0,0,80,208,96,0,176,128,0,0,128,128,0,0,80,128,0,0,128,112,0,0,128,80,0,0,64,160,0,16,208,16,0,0,0,224,144,208,160,0,0,0,0,80,208,144,16,0,0
"61",0,0,64,224,48,0,0,0,0,0,144,255,255,64,0,0,0,0,224,255,255,224,0,0,0,32,255,96,16,255,64,0,0,80,240,0,0,192,64,0,0,80,208,0,0,192,128,0,0,0,255,160,144,255,112,0,0,0,96,255,240,128,0,0
"62",0,0,224,224,176,32,0,0,0,16,255,255,255,240,0,0,0,64,255,144,112,224,96,0,0,128,240,0,0,128,128,0,0,128,176,0,0,128,128,0,0,128,192,0,0,192,80,0,0,64,255,160,224,208,0,0,0,0,144,255,240,48,0,0
"63",0,0,0,176,208,0,0,0,0,32,192,255,255,112,0,0,0,192,255,128,48,224,32,0,0,96,255,160,0,224,96,0,0,0,240,144,0,176,80,0,0,0,176,208,0,144,144,0,0,0,128,255,208,255,80,0,0,0,0,208,255,160,16,0
"64",0,0,64,255,192,0,0,0,0,144,255,255,255,128,0,0,0,144,255,144,96,224,0,0,0,96,255,32,0,192,80,0,0,96,255,16,0,128,144,0,0,48,255,16,0,192,160,0,0,0,192,208,240,255,128,0,0,0,48,192,192,160,16,0
"65",0,0,16,128,192,48,0,0,0,0,144,255,255,192,0,0,0,0,176,255,112,176,0,0,0,0,224,176,0,112,32,0,0,0,224,128,0,144,64,0,0,0,255,112,32,208,16,0,0,0,176,240,176,240,0,0,0,0,16,112,144,16,0,0
"66",0,0,96,208,255,112,0,0,0,80,255,255,192,224,16,0,0,144,255,176,0,255,64,0,0,96,255,64,0,208,112,0,0,128,208,0,0,192,112,0,0,64,255,0,0,176,128,0,0,32,240,96,144,255,80,0,0,0,96,255,255,176,0,0
"67",0,0,80,224,240,64,0,0,0,16,255,32,48,208,32,0,0,112,192,64,0,80,64,0,0,0,208,48,0,16,112,0,0,32,192,0,0,16,128,0,0,0,208,0,0,32,192,0,0,0,224,16,0,208,64,0,0,0,96,255,240,144,16,0
"68",0,0,128,192,176,16,0,0,0,0,208,192,96,192,0,0,0,16,224,64,0,192,0,0,0,32,255,16,0,80,64,0,0,80,176,0,0,128,64,0,0,64,192,0,0,144,80,0,0,32,240,96,128,224,0,0,0,0,80,240,192,48,0,0
"69",0,0,80,208,224,192,16,0,0,0,144,255,112,112,112,0,0,0,255,64,0,16,128,0,0,64,192,0,0,64,128,0,0,64,128,0,0,96,80,0,0,80,128,0,0,176,32,0,0,16,224,80,176,128,0,0,0,0,64,224,176,0,0,0
"70",0,0,64,160,224,48,0,0,0,0,255,176,160,192,0,0,0,64,192,0,0,160,48,0,0,80,176,0,0,112,64,0,0,96,128,0,0,160,64,0,0,48,144,0,0,160,48,0,0,0,208,144,176,208,0,0,0,0,32,224,192,48,0,0
"71",0,0,128,255,240,80,0,0,0,112,255,224,80,240,32,0,0,160,255,128,0,144,144,0,0,160,255,48,0,64,192,0,0,144,224,0,0,96,192,0,0,112,208,0,0,224,112,0,0,32,255,128,192,224,16,0,0,0,160,255,208,48,0,0
"72",0,32,96,255,176,0,0,0,0,144,255,128,160,160,0,0,0,112,176,0,0,176,16,0,0,128,208,0,0,112,80,0,0,96,208,0,0,128,112,0,0,32,224,0,0,224,64,0,0,0,192,112,192,192,0,0,0,0,32,208,224,64,0,0
"73",0,0,48,128,224,144,0,0,0,0,176,224,96,208,48,0,0,48,255,48,0,96,96,0,0,96,240,0,0,128,80,0,0,64,192,0,0,176,16,0,0,16,192,0,64,160,0,0,0,0,144,176,224,80,0,0,0,0,32,208,112,0,0,0
"74",0,0,80,255,255,96,0,0,0,16,240,208,160,240,16,0,0,80,255,144,0,192,112,0,0,128,176,0,0,112,192,0,0,192,144,0,0,64,192,0,0,144,208,0,0,96,208,0,0,16,240,160,64,176,176,0,0,0,96,255,255,208,16,0
"75",0,0,64,192,144,0,0,0,0,0,128,240,144,144,0,0,0,0,240,96,0,192,32,0,0,48,192,0,0,128,112,0,0,112,176,0,0,80,128,0,0,96,192,0,0,112,128,0,0,48,255,112,80,240,64,0,0,0,80,208,208,128,0,0
"76",0,0,48,192,208,16,0,0,0,16,224,176,160,128,0,0,0,64,255,48,0,192,32,0,0,64,208,16,0,144,96,0,0,96,192,0,0,80,128,0,0,48,208,0,0,64,144,0,0,0,240,128,64,208,128,0,0,0,80,240,240,144,0,0
"77",0,0,112,255,255,64,0,0,0,80,240,224,128,208,0,0,0,128,192,0,0,192,96,0,0,128,128,0,0,96,192,0,0,192,128,0,0,64,192,0,0,128,160,0,0,112,176,0,0,32,255,112,96,224,112,0,0,0,96,240,240,128,0,0
"78",0,0,0,160,240,96,0,0,0,0,112,255,160,192,32,0,0,16,240,80,16,176,64,0,0,48,224,0,0,80,96,0,0,112,160,0,0,48,128,0,0,64,192,0,0,64,176,0,0,0,240,64,0,160,128,0,0,0,32,192,208,208,16,0
"79",0,0,0,128,255,80,0,0,0,0,144,208,112,224,0,0,0,0,240,32,0,144,64,0,0,48,208,0,0,64,128,0,0,64,112,0,0,64,128,0,0,48,192,0,0,64,144,0,0,0,176,160,16,112,144,0,0,0,16,144,240,224,48,0
"80",0,0,48,160,192,0,0,0,0,0,144,255,255,176,0,0,0,0,224,192,32,240,48,0,0,16,255,144,0,144,112,0,0,64,240,16,0,128,128,0,0,48,255,0,0,112,176,0,0,32,240,160,144,240,96,0,0,0,48,240,240,112,0,0
"81",0,16,48,240,224,64,0,0,0,96,208,255,224,224,0,0,0,160,96,144,32,224,48,0,0,128,64,0,0,112,128,0,0,112,96,0,0,128,128,0,0,16,208,16,0,208,80,0,0,0,160,176,144,240,16,0,0,0,32,192,255,96,0,0
"82",0,0,160,160,112,0,0,0,0,0,208,255,255,192,16,0,0,48,255,224,96,240,112,0,0,96,192,32,0,128,128,0,0,64,128,0,16,224,112,0,0,64,160,0,128,240,16,0,0,32,255,224,240,64,0,0,0,0,160,255,144,0,0,0
"83",0,0,96,144,0,0,0,0,0,0,80,255,192,0,0,0,0,64,80,48,208,176,0,0,0,96,176,0,16,224,80,0,0,48,208,0,0,128,144,0,0,0,240,16,80,192,192,0,0,0,240,224,255,224,64,0,0,0,80,255,160,32,0,0
"84",0,0,176,48,128,112,0,0,0,16,240,176,255,255,112,0,0,0,255,64,80,208,160,0,0,48,208,0,0,128,144,0,0,80,208,0,0,128,128,0,0,96,208,0,112,255,32,0,0,32,255,192,255,160,0,0,0,0,144,208,128,0,0,0
"85",0,0,64,240,96,0,0,0,0,48,255,255,255,80,0,0,0,112,176,64,128,224,16,0,0,112,160,0,0,224,96,0,0,112,160,0,0,176,144,0,0,32,224,0,0,144,160,0,0,0,192,160,144,240,96,0,0,0,32,208,255,112,0,0
"86",0,0,128,0,128,112,0,0,0,0,255,64,208,255,32,0,0,32,224,32,112,255,96,0,0,112,192,0,0,208,112,0,0,80,208,0,0,192,128,0,0,80,255,128,64,240,112,0,0,48,255,255,255,255,16,0,0,0,112,224,160,48,0,0
"87",0,0,112,144,240,96,0,0,0,32,255,255,255,255,48,0,0,112,240,128,16,208,128,0,0,128,160,0,0,128,128,0,0,128,144,0,0,128,128,0,0,112,224,0,48,240,80,0,0,32,255,224,255,208,16,0,0,0,128,208,128,0,0,0
"88",0,0,64,224,240,96,0,0,0,32,255,192,240,224,0,0,0,112,144,0,0,192,64,0,0,128,96,0,0,96,112,0,0,80,128,0,0,64,128,0,0,32,224,16,0,112,112,0,0,0,192,255,255,255,32,0,0,0,32,176,240,128,0,0
"89",0,0,80,240,208,32,0,0,0,48,255,255,255,255,0,0,0,128,112,16,48,224,112,0,0,48,16,0,0,80,128,0,0,80,160,0,0,80,128,0,0,48,255,192,128,224,128,0,0,0,208,255,255,255,80,0,0,0,48,224,255,160,0,0
"90",0,0,0,192,240,64,0,0,0,0,112,144,128,240,0,0,0,32,192,0,0,144,64,0,0,80,176,0,0,64,128,0,0,128,64,0,0,128,96,0,0,32,192,0,16,224,80,0,0,0,208,240,255,192,16,0,0,0,32,160,192,16,0,0
"91",0,0,16,176,240,32,0,0,0,96,96,255,255,144,0,0,0,128,224,208,48,208,64,0,0,112,255,16,0,96,96,0,0,48,192,0,0,96,144,0,0,0,224,80,32,208,192,0,0,0,48,255,255,255,128,0,0,0,0,144,255,208,32,0
"92",0,0,32,255,255,176,0,0,0,0,208,240,240,255,80,0,0,64,224,48,48,224,144,0,0,128,240,0,0,96,128,0,0,64,192,0,0,96,128,0,0,16,255,176,160,255,112,0,0,0,224,255,255,176,16,0,0,0,32,192,176,32,0,0
"93",0,0,48,224,160,16,0,0,0,0,192,144,144,192,0,0,0,32,255,80,0,128,96,0,0,64,128,16,0,48,112,0,0,80,112,0,0,64,128,0,0,32,192,0,0,112,80,0,0,0,192,112,80,208,32,0,0,0,48,224,240,96,0,0
"94",0,0,64,224,128,0,0,0,0,0,240,208,240,128,0,0,0,48,224,0,16,224,80,0,0,64,192,0,0,144,128,0,0,64,192,0,0,128,128,0,0,64,208,0,0,224,96,0,0,0,240,160,160,208,16,0,0,0,80,240,192,48,0,0
"95",0,0,16,208,224,32,0,0,0,0,112,255,160,192,0,0,0,48,240,160,0,192,48,0,0,112,144,0,0,128,112,0,0,80,144,0,0,128,112,0,0,16,208,0,0,176,32,0,0,0,208,112,80,160,0,0,0,0,48,224,240,48,0,0
"96",0,0,48,160,208,80,0,0,0,0,240,192,80,224,16,0,0,64,192,16,0,160,64,0,0,80,128,0,0,128,112,0,0,80,128,0,0,128,128,0,0,64,176,0,0,176,80,0,0,16,224,96,112,192,0,0,0,0,64,240,224,64,0,0
"97",0,0,32,224,192,32,0,0,0,0,192,208,112,208,0,0,0,80,255,16,0,192,48,0,0,96,192,32,0,64,128,0,0,112,128,0,0,112,128,0,0,16,224,16,0,144,96,0,0,0,144,176,112,255,16,0,0,0,32,192,255,128,0,0
"98",0,0,32,128,240,112,0,0,0,0,176,240,96,224,48,0,0,0,255,96,0,64,144,0,0,128,64,0,0,64,128,0,0,96,112,0,0,80,128,0,0,48,208,0,0,208,16,0,0,0,160,176,128,176,0,0,0,0,16,208,176,32,0,0
"99",0,0,64,240,160,0,0,0,0,48,255,144,160,112,0,0,0,112,240,48,16,176,32,0,0,128,96,0,0,96,112,0,0,128,80,0,0,64,128,0,0,64,160,0,0,112,128,0,0,0,208,96,80,240,48,0,0,0,64,240,224,96,0,0
"100",0,0,32,208,224,32,0,0,0,16,240,255,255,144,0,0,0,112,255,128,80,255,16,0,0,96,255,48,0,176,112,0,0,80,255,64,0,128,128,0,0,0,255,144,0,160,176,0,0,0,160,240,160,255,128,0,0,0,32,208,255,224,32,0
"101",0,0,64,255,112,16,0,0,0,0,160,208,240,176,0,0,0,32,240,48,64,240,48,0,0,64,255,0,0,192,128,0,0,80,255,16,0,144,128,0,0,64,255,32,16,208,112,0,0,0,224,144,144,224,16,0,0,0,80,224,240,96,0,0
"102",0,0,64,224,240,64,0,0,0,16,255,224,240,208,0,0,0,64,255,112,64,255,48,0,0,80,255,48,0,192,64,0,0,64,255,32,0,176,128,0,0,32,255,96,16,240,64,0,0,0,192,208,208,224,16,0,0,0,48,255,240,64,0,0
"103",0,0,96,224,144,0,0,0,0,48,255,208,255,96,0,0,0,32,255,48,144,208,0,0,0,16,255,16,16,240,64,0,0,48,255,0,0,192,96,0,0,0,255,16,0,208,64,0,0,0,255,128,128,240,16,0,0,0,112,240,224,80,0,0
